Organization Name (CFI),Israeli Org Number,Hebrew Name,English Name (Registry),City,Street,Postal Code,Status,Category,Website,West Bank
Israel Big Brother Big Sister,580669786,אחים גדולים (ע~ר),,רמת גן,החשמונאים,5248285,רשומה (Registered),Community,https://bigbrothers.org.il/en/home-2/,No
KEDMA,580573640,קדמה התיישבות צעירים (ע~ר),KEDMA YOUTH VILLAGES (R.A.),מעלה אפרים,דרך הגלעד,9063800,רשומה (Registered),Community,https://kedma-hityashvut.org/en/,Yes
La'Ofek,580459436,לאופק - תקווה לעתיד (ע~ר),,ירושלים,הרטום,9777508,רשומה (Registered),Community,https://www.laofek.org/en/home/,No
Building Hope (Tenufa Bakehila),580584530,תנופה בקהילה (ע~ר),,ירושלים,רשב~א,9226408,רשומה (Registered),Community,https://www.tenufa.org/,No
Heart to Plate,NOT FOUND,,,,,,,,https://www.hearttoplate.org.il/,No
S.A.H.I,NOT FOUND - multiple partial matches,,,,,,,,https://sahi-israel.org/en/,No
Shutaf,NOT FOUND - no exact match for inclusion program,,,,,,,,https://shutafinclusionprograms.org/,No
Gush Etzion Foundation,580222982,קרן גוש עציון לפיתוח (ע~ר),Gush Etzion Foundation,אלון שבות,השיירות,9043300,רשומה (Registered),Social & Humanitarian,https://gush-etzion.org.il/,Yes
EMDA,580130714,עמדא- עמותה לחולי דמנציה אלצהיימר ומחלות דומות בישראל (ע~ר),,כפר סבא,שרת משה,4445824,רשומה (Registered),Medical,https://emda.org.il/english/,No
Chimes Israel,580188894,צ'יימס ישראל (ע~ר),CHIMES ISRAEL (R.A.),תל אביב - יפו,הברזל,6971033,רשומה (Registered),Medical,https://www.chimesisrael.org.il/en/,No
Hillel (Beit Hillel),580019552,בית הלל פנחס אשר (ע~ר),,בני ברק,אהבת שלום,5161313,רשומה (Registered),Religion & Spirituality,https://eng.beithillel.org.il/,No
Bnei Akiva,580088722,קרן עזרה הדדית ליד התנועה העולמית של בני עקיבא,,תל אביב - יפו,,61400,נמחקה (Dissolved),Religion & Spirituality,https://www.worldbneiakiva.org/,No
Algo Dates,580725729,אלגו דייטס (ע~ר),ALGO DATES (R.A.),פתח תקווה,מסקין,4965149,רשומה (Registered),Religion & Spirituality,https://www.algo.org.il/,No
Ptil Tekhelet,580240612,עמותת פתיל תכלת (ע~ר),,אפרת,הגורן,9043500,רשומה (Registered),Religion & Spirituality,https://www.tekhelet.com/,Yes
Atzmona / Otzem,NOT FOUND - no exact yeshiva match,,,,,,,,https://otzem.org.il/en/otzem-english,No
Temple Mount Heritage Foundation,NOT FOUND in registry,,,,,,,,https://www.templeheritage.com/en/,No
The Eden Center,NOT FOUND - no exact mikveh org match,,,,,,,,http://www.theedencenter.com/,No
Jerusalem Village,580578201,כפר ירושלמי (ע~ר),Jerusalem Village (R.A.),ירושלים,שלום יהודה,9339506,נמחקה (Dissolved),Religion & Spirituality,https://jerusalemvillage.org/,No
Tzohar,580107787,צהר לטהר (ע~ר),,רכסים,דרך הרב משקובסקי,2049600,רשומה (Registered),Religion & Spirituality,https://tzohar-eng.org/,No
Women's Spirit (Ruach Nashit),580474658,רוח נשית - עצמאות כלכלית לנשים נפגעות אלימות (ע~ר),,תל אביב - יפו,דרך בגין,6713835,רשומה (Registered),Social & Humanitarian,https://www.ruach-nashit.org.il/english,No
The Donald Berman Sulam,NOT FOUND in registry,,,,,,,,https://www.sulamisrael.org/,No
Nitza,580297034,אור ניצה - רשת תמיכה לאם ולמשפחה (ע~ר),,ירושלים,גשר החיים,9439201,רשומה (Registered),Social & Humanitarian,https://www.nitza.org/he/,No
Vineyards of Kindness (Karmey Hesed),580431138,כרמי חסד (ע~ר),,ביתר עילית,הרב אבא שאול,9055143,רשומה (Registered),Social & Humanitarian,https://karmeyhesed.org/english/Default.asp,Yes
The Koby Mandell Foundation,580395051,קרן קובי מנדל (ע~ר),THE KOBY MANDELL FOUNDATION (R.A.),תקוע,,9090800,רשומה (Registered),Social & Humanitarian,https://www.kobymandell.org/,Yes
CHAMA / Chamah,580624567,חמ~ה - מרכז רוחני לעולים בירושלים (ע~ר),,ירושלים,עולי הגרדום,9380103,רשומה (Registered),Social & Humanitarian,http://www.chamah.net/,No
Chasadei Efrat,580407211,חסדי אפרת (ע~ר),,אפרת,סמדר,9043500,רשומה (Registered),Social & Humanitarian,https://chasdeiefrat.org/english/,Yes
Shoulder to Shoulder (Katef LeKatef),580500833,כתף אל כתף (ע~ר),,כוכב יעקב,אהבת ישראל,90622,נמחקה (Dissolved),Social & Humanitarian,http://katef.org.il/english/,Yes
Yashar LaChayal,580466175,ישר לחייל (ע~ר),,מעלה אדומים,דרך מצפה נבו,9841033,רשומה (Registered),Social & Humanitarian,https://yasharlachayal.org/,Yes
Foundation for Welfare of Holocaust Survivors,580185700,הקרן לרווחת נפגעי השואה (ע~ר),The Foundation for the Welfare of Holocaust Victims (R.A.),תל אביב - יפו,המלאכה,6721503,רשומה (Registered),Social & Humanitarian,https://www.k-shoa.org/index.php?language=eng,No
Yad Eliezer - B'ezri,580060069,יד אליעזר (ע~ר),,ירושלים,פולונסקי,9527114,רשומה (Registered),Social & Humanitarian,https://www.bezri.org/,No
